University,Course,Domain,Annual_Fee_INR,City,State_Province,Country,Region,Gender_Type,Website
McGill University,B.Eng Electrical,Engineering & Technology,2200000,Montreal,Quebec,Canada,North America,Co-Ed,https://www.mcgill.ca
McGill University,MBBS/MD,Medicine & Health,3000000,Montreal,Quebec,Canada,North America,Co-Ed,https://www.mcgill.ca
University of British Columbia,B.Sc Data Science,Engineering & Technology,2800000,Vancouver,British Columbia,Canada,North America,Co-Ed,https://www.ubc.ca
University of Waterloo,B.Sc Computer Science (Co-op),Engineering & Technology,2700000,Waterloo,Ontario,Canada,North America,Co-Ed,https://www.uwaterloo.ca
University of Waterloo,B.Eng Mechatronics,Engineering & Technology,2700000,Waterloo,Ontario,Canada,North America,Co-Ed,https://www.uwaterloo.ca
York University,B.B.A,Management,1800000,Toronto,Ontario,Canada,North America,Co-Ed,https://www.yorku.ca
University of Melbourne,B.Sc Engineering,Engineering & Technology,3300000,Melbourne,Victoria,Australia,Oceania,Co-Ed,https://www.unimelb.edu.au
University of Melbourne,MBA,Management,4800000,Melbourne,Victoria,Australia,Oceania,Co-Ed,https://www.unimelb.edu.au
Australian National University,B.Sc Computer Science,Engineering & Technology,3000000,Canberra,ACT,Australia,Oceania,Co-Ed,https://www.anu.edu.au
University of Sydney,B.Eng Software,Engineering & Technology,3200000,Sydney,New South Wales,Australia,Oceania,Co-Ed,https://www.sydney.edu.au
University of New South Wales,B.Eng Aerospace,Engineering & Technology,3200000,Sydney,New South Wales,Australia,Oceania,Co-Ed,https://www.unsw.edu.au
Monash University,MBBS,Medicine & Health,4000000,Melbourne,Victoria,Australia,Oceania,Co-Ed,https://www.monash.edu
University of Queensland,B.Sc Biotechnology,Life Sciences,2800000,Brisbane,Queensland,Australia,Oceania,Co-Ed,https://www.uq.edu.au
Technical University of Munich (TUM),B.Sc Computer Science,Engineering & Technology,100000,Munich,Bavaria,Germany,Europe,Co-Ed,https://www.tum.de
Technical University of Munich (TUM),M.Sc Robotics,Engineering & Technology,100000,Munich,Bavaria,Germany,Europe,Co-Ed,https://www.tum.de
RWTH Aachen University,B.Sc Mechanical Engineering,Engineering & Technology,80000,Aachen,NRW,Germany,Europe,Co-Ed,https://www.rwth-aachen.de
RWTH Aachen University,M.Sc Automotive Engineering,Engineering & Technology,80000,Aachen,NRW,Germany,Europe,Co-Ed,https://www.rwth-aachen.de
Heidelberg University,M.Sc Physics,Science & Research,150000,Heidelberg,Baden-Württemberg,Germany,Europe,Co-Ed,https://www.uni-heidelberg.de
Mannheim University,MBA,Management,3500000,Mannheim,Baden-Württemberg,Germany,Europe,Co-Ed,https://www.uni-mannheim.de
National University of Singapore,B.Sc Computer Science,Engineering & Technology,2700000,Singapore,Singapore,Singapore,Asia,Co-Ed,https://www.nus.edu.sg
National University of Singapore,MBA,Management,6000000,Singapore,Singapore,Singapore,Asia,Co-Ed,https://www.nus.edu.sg
Nanyang Technological University,B.Eng Computer Engineering,Engineering & Technology,2500000,Singapore,Singapore,Singapore,Asia,Co-Ed,https://www.ntu.edu.sg
Nanyang Technological University,M.Sc Data Science,Engineering & Technology,3000000,Singapore,Singapore,Singapore,Asia,Co-Ed,https://www.ntu.edu.sg
University of Tokyo,B.Eng Engineering,Engineering & Technology,800000,Tokyo,Kanto,Japan,Asia,Co-Ed,https://www.u-tokyo.ac.jp
Osaka University,M.Sc Chemistry,Science & Research,700000,Osaka,Kinki,Japan,Asia,Co-Ed,https://www.osaka-u.ac.jp
Tokyo Institute of Technology,M.Sc AI,Engineering & Technology,850000,Tokyo,Kanto,Japan,Asia,Co-Ed,https://www.titech.ac.jp
Peking University,B.Sc Economics,Social Sciences,500000,Beijing,Beijing,China,Asia,Co-Ed,https://www.pku.edu.cn
Tsinghua University,B.Eng Computer Science,Engineering & Technology,550000,Beijing,Beijing,China,Asia,Co-Ed,https://www.tsinghua.edu.cn
Fudan University,MBA,Management,2000000,Shanghai,Shanghai,China,Asia,Co-Ed,https://www.fudan.edu.cn
Delft University of Technology,M.Sc Aerospace Engineering,Engineering & Technology,2200000,Delft,South Holland,Netherlands,Europe,Co-Ed,https://www.tudelft.nl
University of Amsterdam,M.Sc Artificial Intelligence,Engineering & Technology,2200000,Amsterdam,North Holland,Netherlands,Europe,Co-Ed,https://www.uva.nl
Erasmus University Rotterdam,M.Sc Finance,Commerce & Finance,2800000,Rotterdam,South Holland,Netherlands,Europe,Co-Ed,https://www.eur.nl
University of Dubai,MBA,Management,1200000,Dubai,Dubai,UAE,Middle East,Co-Ed,https://www.ud.ac.ae
Khalifa University,B.Eng Petroleum Engineering,Engineering & Technology,0,Abu Dhabi,Abu Dhabi,UAE,Middle East,Co-Ed,https://www.ku.ac.ae
HEC Paris,MBA,Management,9000000,Jouy-en-Josas,Île-de-France,France,Europe,Co-Ed,https://www.hec.edu
Ecole Polytechnique,M.Sc Engineering,Engineering & Technology,2800000,Palaiseau,Île-de-France,France,Europe,Co-Ed,https://www.polytechnique.edu
ETH Zurich,M.Sc Computer Science,Engineering & Technology,1100000,Zurich,Zurich,Switzerland,Europe,Co-Ed,https://www.ethz.ch
ETH Zurich,M.Sc Data Science,Engineering & Technology,1100000,Zurich,Zurich,Switzerland,Europe,Co-Ed,https://www.ethz.ch
KTH Royal Institute of Technology,M.Sc Machine Learning,Engineering & Technology,800000,Stockholm,Stockholm,Sweden,Europe,Co-Ed,https://www.kth.se
IIIT Hyderabad,B.Tech CSE,Engineering & Technology,350000,Hyderabad,Telangana,India,South India,Co-Ed,https://www.iiit.ac.in
IIIT Hyderabad,M.Tech AI,Engineering & Technology,300000,Hyderabad,Telangana,India,South India,Co-Ed,https://www.iiit.ac.in
IIIT Bangalore,M.Tech Software Engineering,Engineering & Technology,550000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.iiitb.ac.in
Thapar Institute of Engineering,B.E. CSE,Engineering & Technology,225000,Patiala,Punjab,India,North India,Co-Ed,https://www.thapar.edu
Thapar Institute of Engineering,M.E. Structural Engineering,Engineering & Technology,190000,Patiala,Punjab,India,North India,Co-Ed,https://www.thapar.edu
Lovely Professional University,B.Tech CSE,Engineering & Technology,160000,Phagwara,Punjab,India,North India,Co-Ed,https://www.lpu.in
Lovely Professional University,BBA,Management,120000,Phagwara,Punjab,India,North India,Co-Ed,https://www.lpu.in
Chandigarh University,B.Tech CSE,Engineering & Technology,170000,Chandigarh,Punjab,India,North India,Co-Ed,https://www.cuchd.in
Shiv Nadar University,B.Tech CSE,Engineering & Technology,300000,Greater Noida,Uttar Pradesh,India,North India,Co-Ed,https://www.snu.edu.in
Ashoka University,B.A. Economics,Social Sciences,850000,Sonipat,Haryana,India,North India,Co-Ed,https://www.ashoka.edu.in
Ashoka University,B.Sc Computer Science,Engineering & Technology,850000,Sonipat,Haryana,India,North India,Co-Ed,https://www.ashoka.edu.in
Azim Premji University,B.A. Education,Social Sciences,150000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.azimpremjiuniversity.edu.in
Krea University,B.Sc Interdisciplinary,Science & Research,400000,Sri City,Andhra Pradesh,India,South India,Co-Ed,https://www.krea.edu.in
Alliance University,B.Tech CSE,Engineering & Technology,240000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.alliance.edu.in
Alliance University,MBA,Management,450000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.alliance.edu.in
KIIT University,B.Tech Mechanical,Engineering & Technology,180000,Bhubaneswar,Odisha,India,East India,Co-Ed,https://www.kiit.ac.in
KIIT University,MBA,Management,250000,Bhubaneswar,Odisha,India,East India,Co-Ed,https://www.kiit.ac.in
SASTRA University,B.Tech EEE,Engineering & Technology,140000,Thanjavur,Tamil Nadu,India,South India,Co-Ed,https://www.sastra.edu
Sathyabama University,B.Tech Aerospace,Engineering & Technology,150000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.sathyabama.ac.in
Vel Tech University,B.Tech Robotics,Engineering & Technology,120000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.veltech.edu.in
Hindustan Institute of Technology,B.Tech Aeronautical,Engineering & Technology,140000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.hindustanuniv.ac.in
Sri Ramachandra University,MBBS,Medicine & Health,1000000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.sriramachandra.edu.in
Saveetha University,BDS,Medicine & Health,550000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.saveetha.com
SRM Medical College,MBBS,Medicine & Health,1200000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.srmmedicalcollege.ac.in
Pondicherry University,M.Sc Computer Science,Engineering & Technology,40000,Puducherry,Puducherry,India,South India,Co-Ed,https://www.pondiuni.edu.in
Pondicherry University,MBA,Management,65000,Puducherry,Puducherry,India,South India,Co-Ed,https://www.pondiuni.edu.in
Alagappa University,M.Sc Software Engineering,Engineering & Technology,35000,Karaikudi,Tamil Nadu,India,South India,Co-Ed,https://www.alagappauniversity.ac.in
Periyar University,B.Sc Computer Science,Science & Research,20000,Salem,Tamil Nadu,India,South India,Co-Ed,https://www.periyaruniversity.ac.in
Jai Hind College Mumbai,BMS,Management,85000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.jaihindcollege.com
Narsee Monjee Institute,MBA,Management,800000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.nmims.edu
S.P. College Pune,B.Sc Physics,Science & Research,25000,Pune,Maharashtra,India,West India,Co-Ed,https://www.spcollege.in
Fergusson College Pune,B.Sc Computer Science,Science & Research,28000,Pune,Maharashtra,India,West India,Co-Ed,https://www.fergusson.edu
XLRI Jamshedpur,MBA Finance,Management,2400000,Jamshedpur,Jharkhand,India,East India,Co-Ed,https://www.xlri.ac.in
IIM Kozhikode,MBA,Management,2100000,Kozhikode,Kerala,India,South India,Co-Ed,https://www.iimk.ac.in
IIM Trichy,MBA,Management,1500000,Tiruchirappalli,Tamil Nadu,India,South India,Co-Ed,https://www.iimtrichy.ac.in
IIM Lucknow,MBA (PGP),Management,1900000,Lucknow,Uttar Pradesh,India,North India,Co-Ed,https://www.iiml.ac.in
XLRI Jamshedpur,MBA BM,Management,2450000,Jamshedpur,Jharkhand,India,East India,Co-Ed,https://www.xlri.ac.in
SPJIMR Mumbai,PGDM,Management,2100000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.spjimr.org
TAPMI Manipal,MBA,Management,1400000,Manipal,Karnataka,India,South India,Co-Ed,https://www.tapmi.edu.in
Great Lakes Institute of Management,PGDM,Management,1800000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.greatlakes.edu.in
MIT Pune,B.E. CSE,Engineering & Technology,130000,Pune,Maharashtra,India,West India,Co-Ed,https://www.mitpune.edu.in
Symbiosis Institute of Technology Pune,B.Tech CSE,Engineering & Technology,190000,Pune,Maharashtra,India,West India,Co-Ed,https://www.sitpune.edu.in
Pune Institute of Computer Technology,B.E. CSE,Engineering & Technology,110000,Pune,Maharashtra,India,West India,Co-Ed,https://www.pict.edu
Seoul National University,B.S. Computer Science,Engineering & Technology,400000,Seoul,Seoul,South Korea,Asia,Co-Ed,https://www.snu.ac.kr
KAIST,M.S. AI,Engineering & Technology,300000,Daejeon,Chungcheong,South Korea,Asia,Co-Ed,https://www.kaist.ac.kr
University of Hong Kong,B.B.A.,Management,1800000,Hong Kong,Hong Kong,Hong Kong,Asia,Co-Ed,https://www.hku.hk
HKUST,M.Sc Data Science,Engineering & Technology,2200000,Hong Kong,Hong Kong,Hong Kong,Asia,Co-Ed,https://www.ust.hk
University of Auckland,B.Sc Computer Science,Engineering & Technology,2200000,Auckland,Auckland,New Zealand,Oceania,Co-Ed,https://www.auckland.ac.nz
University of Cape Town,B.Eng Chemical,Engineering & Technology,900000,Cape Town,Western Cape,South Africa,Africa,Co-Ed,https://www.uct.ac.za
INSEAD,MBA,Management,12000000,Fontainebleau,Île-de-France,France,Europe,Co-Ed,https://www.insead.edu
WHU Otto Beisheim,MBA,Management,4200000,Vallendar,Rhineland-Palatinate,Germany,Europe,Co-Ed,https://www.whu.edu
Bocconi University,B.Sc Economics & Management,Commerce & Finance,1500000,Milan,Lombardy,Italy,Europe,Co-Ed,https://www.unibocconi.eu
IE Business School,MBA,Management,8800000,Madrid,Madrid,Spain,Europe,Co-Ed,https://www.ie.edu
PSG Arts & Science College,B.Sc Mathematics,Science & Research,45000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.psgcas.ac.in
PSG Arts & Science College,M.Sc Biochemistry,Life Sciences,50000,Coimbatore,Tamil Nadu,India,South India,Women,https://www.psgcas.ac.in
Kongu Engineering College,B.E. CSE,Engineering & Technology,85000,Erode,Tamil Nadu,India,South India,Co-Ed,https://www.kongu.edu
K.S.Rangasamy College of Technology,B.E. Mechanical,Engineering & Technology,70000,Namakkal,Tamil Nadu,India,South India,Co-Ed,https://www.ksrct.ac.in
Bannari Amman Institute of Technology,B.E. ECE,Engineering & Technology,80000,Erode,Tamil Nadu,India,South India,Co-Ed,https://www.bitsathy.ac.in
Sri Krishna College of Engineering,B.E. CSE,Engineering & Technology,90000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.skcet.ac.in
Sri Eshwar College of Engineering,B.E. Mechanical,Engineering & Technology,80000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.sece.ac.in
Karpagam Academy of Higher Education,B.Tech Biotechnology,Life Sciences,70000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://karpagamuniv.com
SNS College of Technology,B.E. IT,Engineering & Technology,75000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.snsct.org
Kumaraguru College of Technology,B.E. CSE,Engineering & Technology,95000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.kct.ac.in
Thiagarajar College of Engineering,B.E. EEE,Engineering & Technology,80000,Madurai,Tamil Nadu,India,South India,Co-Ed,https://www.tce.edu
Mepco Schlenk Engineering College,B.E. CSE,Engineering & Technology,70000,Sivakasi,Tamil Nadu,India,South India,Men,https://www.mepcoeng.ac.in
Pandian Saraswathi Yadav Engineering College,B.E. Mechanical,Engineering & Technology,65000,Sivaganga,Tamil Nadu,India,South India,Co-Ed,https://www.psyec.ac.in
Sethu Institute of Technology,B.E. Civil,Engineering & Technology,60000,Virudhunagar,Tamil Nadu,India,South India,Co-Ed,https://www.sethu.ac.in
Noorul Islam University,B.Tech CSE,Engineering & Technology,90000,Kanyakumari,Tamil Nadu,India,South India,Co-Ed,https://www.niuniv.com
Jeppiaar Engineering College,B.E. EEE,Engineering & Technology,90000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.jeppiaar.ac.in
Rajalakshmi Engineering College,B.E. CSE,Engineering & Technology,100000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.rajalakshmi.org
Easwari Engineering College,B.E. Mechanical,Engineering & Technology,85000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.eec.srmgroup.in
Panimalar Engineering College,B.E. ECE,Engineering & Technology,95000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.panimalar.ac.in
St. Joseph's College of Engineering,B.E. IT,Engineering & Technology,110000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.stjosephs.ac.in
Velammal Engineering College,B.E. CSE,Engineering & Technology,105000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.velammal.edu.in
Misrimal Navajee Munoth Jain Engineering College,B.E. ECE,Engineering & Technology,95000,Chennai,Tamil Nadu,India,South India,Men,https://www.mjcollege.ac.in
Meenakshi Sundarajan Engineering College,B.E. CSE,Engineering & Technology,110000,Chennai,Tamil Nadu,India,South India,Women,https://www.msec.ac.in
Sathyabama Institute of Science and Technology,M.Tech CSE,Engineering & Technology,130000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.sathyabama.ac.in
"Vels Institute of Science, Technology & Advanced Studies",B.Sc Nursing,Medicine & Health,100000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.velsuniv.ac.in
Sri Ramachandra University,B.Pharm,Medicine & Health,150000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.sriramachandra.edu.in
Tagore Medical College,MBBS,Medicine & Health,900000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.tagoremedicalcollege.org
Meenakshi Medical College,MBBS,Medicine & Health,800000,Kanchipuram,Tamil Nadu,India,South India,Co-Ed,https://www.meenakshimedicalcollege.org
SIMS Chennai,MBA,Management,300000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.simsgroup.org
Madras Christian College,B.Sc Chemistry,Science & Research,45000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.mcc.edu.in
M.S. Ramaiah Institute of Technology,B.E. CSE,Engineering & Technology,160000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.msrit.edu
BMS College of Engineering,B.E. ECE,Engineering & Technology,130000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.bmsce.ac.in
Dayananda Sagar College of Engineering,B.E. Mechanical,Engineering & Technology,120000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.dsce.edu.in
JSS Science and Technology University,B.E. CSE,Engineering & Technology,140000,Mysuru,Karnataka,India,South India,Co-Ed,https://jssstuniv.in
Nitte Meenakshi Institute of Technology,B.E. EEE,Engineering & Technology,110000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.nmit.ac.in
Jain University Bengaluru,B.Tech AI,Engineering & Technology,250000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.jainuniversity.ac.in
Jain University Bengaluru,MBA,Management,320000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.jainuniversity.ac.in
Reva University,B.Tech CSE,Engineering & Technology,200000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.reva.edu.in
CMR University,B.Tech Data Science,Engineering & Technology,190000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.cmru.ac.in
Vidyavardhaka College of Engineering,B.E. Civil,Engineering & Technology,85000,Mysuru,Karnataka,India,South India,Co-Ed,https://www.vvce.ac.in
TKM College of Engineering,B.Tech Mechanical,Engineering & Technology,70000,Kollam,Kerala,India,South India,Co-Ed,https://www.tkmce.ac.in
College of Engineering Trivandrum,B.Tech CSE,Engineering & Technology,65000,Thiruvananthapuram,Kerala,India,South India,Co-Ed,https://www.cet.ac.in
Government Engineering College Thrissur,B.Tech ECE,Engineering & Technology,60000,Thrissur,Kerala,India,South India,Co-Ed,https://www.gectcr.ac.in
MES College of Engineering,B.Tech CSE,Engineering & Technology,75000,Kochi,Kerala,India,South India,Co-Ed,https://www.mescollege.ac.in
Amrita School of Engineering Kochi,B.Tech CSE,Engineering & Technology,180000,Kochi,Kerala,India,South India,Co-Ed,https://www.amrita.edu/kochi
Rajagiri School of Engineering & Technology,B.Tech Mechanical,Engineering & Technology,120000,Kochi,Kerala,India,South India,Co-Ed,https://www.rajagiritech.ac.in
KL University,B.Tech CSE,Engineering & Technology,150000,Vijayawada,Andhra Pradesh,India,South India,Co-Ed,https://www.kluniversity.in
KL University,MBA,Management,180000,Vijayawada,Andhra Pradesh,India,South India,Co-Ed,https://www.kluniversity.in
Vignan University,B.Tech ECE,Engineering & Technology,130000,Guntur,Andhra Pradesh,India,South India,Co-Ed,https://www.vignanuniversity.org
Jawaharlal Nehru Technological University Anantapur,B.Tech EEE,Engineering & Technology,90000,Anantapur,Andhra Pradesh,India,South India,Co-Ed,https://www.jntua.ac.in
Koneru Lakshmaiah Education Foundation,B.Tech AI & ML,Engineering & Technology,170000,Vijayawada,Andhra Pradesh,India,South India,Co-Ed,https://www.kluniversity.in
Vasavi College of Engineering,B.E. CSE,Engineering & Technology,130000,Hyderabad,Telangana,India,South India,Co-Ed,https://www.vasavi.ac.in
CVR College of Engineering,B.Tech IT,Engineering & Technology,100000,Hyderabad,Telangana,India,South India,Co-Ed,https://www.cvr.ac.in
CMR College of Engineering & Technology,B.Tech CSE,Engineering & Technology,120000,Hyderabad,Telangana,India,South India,Co-Ed,https://www.cmrcet.ac.in
NIT Allahabad (MNNIT),B.Tech Chemical,Engineering & Technology,150000,Prayagraj,Uttar Pradesh,India,North India,Co-Ed,https://www.mnnit.ac.in
NIT Jaipur,B.Tech CSE,Engineering & Technology,150000,Jaipur,Rajasthan,India,North India,Co-Ed,https://www.mnit.ac.in
Malaviya NIT Jaipur,M.Tech Structural,Engineering & Technology,140000,Jaipur,Rajasthan,India,North India,Co-Ed,https://www.mnit.ac.in
University of Rajasthan,B.Sc Physics,Science & Research,18000,Jaipur,Rajasthan,India,North India,Co-Ed,https://www.uniraj.ac.in
St. Stephen's College Delhi,B.A. English,Arts & Humanities,25000,New Delhi,Delhi,India,North India,Co-Ed,https://www.ststephens.edu
Ramjas College Delhi,B.Sc Mathematics,Science & Research,18000,New Delhi,Delhi,India,North India,Co-Ed,https://ramjas.du.ac.in
Hansraj College Delhi,B.Com (Hons),Commerce & Finance,18000,New Delhi,Delhi,India,North India,Co-Ed,https://www.hansrajcollege.ac.in
Kirori Mal College Delhi,B.A. Political Science,Social Sciences,16000,New Delhi,Delhi,India,North India,Co-Ed,https://kmc.du.ac.in
Indraprastha University,B.Tech CSE,Engineering & Technology,160000,New Delhi,Delhi,India,North India,Co-Ed,https://www.ipu.ac.in
AIIMS Jodhpur,MBBS,Medicine & Health,1390,Jodhpur,Rajasthan,India,North India,Co-Ed,https://www.aiimsjodhpur.edu.in
SRM University Delhi NCR,B.Tech CSE,Engineering & Technology,220000,Sonipat,Haryana,India,North India,Co-Ed,https://www.srmuniversity.ac.in/delhi-ncr
Manav Rachna International Institute,B.Tech CSE,Engineering & Technology,180000,Faridabad,Haryana,India,North India,Co-Ed,https://www.manavrachna.edu.in
Graphic Era University,B.Tech Mechanical,Engineering & Technology,150000,Dehradun,Uttarakhand,India,North India,Co-Ed,https://www.geu.ac.in
Dev Bhoomi Uttarakhand University,B.Tech CSE,Engineering & Technology,120000,Dehradun,Uttarakhand,India,North India,Co-Ed,https://www.dbuu.ac.in
Kurukshetra University,B.Tech ECE,Engineering & Technology,65000,Kurukshetra,Haryana,India,North India,Co-Ed,https://www.kuk.ac.in
YMCA University of Science and Technology,B.Tech CSE,Engineering & Technology,70000,Faridabad,Haryana,India,North India,Co-Ed,https://www.ymcaust.ac.in
Chitkara University Punjab,B.E. CSE,Engineering & Technology,200000,Rajpura,Punjab,India,North India,Co-Ed,https://www.chitkara.edu.in
Guru Nanak Dev University,B.Tech CSE,Engineering & Technology,90000,Amritsar,Punjab,India,North India,Co-Ed,https://gndu.ac.in
GNDU Amritsar,M.Sc Biochemistry,Life Sciences,40000,Amritsar,Punjab,India,North India,Co-Ed,https://gndu.ac.in
Himachal Pradesh University,B.Sc Agriculture,Agriculture,35000,Shimla,Himachal Pradesh,India,North India,Co-Ed,https://www.hpuniv.ac.in
NIT Hamirpur,B.Tech CSE,Engineering & Technology,140000,Hamirpur,Himachal Pradesh,India,North India,Co-Ed,https://www.nith.ac.in
Sardar Vallabhbhai NIT Surat,B.Tech Chemical,Engineering & Technology,150000,Surat,Gujarat,India,West India,Co-Ed,https://www.svnit.ac.in
Dhirubhai Ambani Institute (DA-IICT),B.Tech IT,Engineering & Technology,210000,Gandhinagar,Gujarat,India,West India,Co-Ed,https://www.daiict.ac.in
Pandit Deendayal Energy University,B.Tech Petroleum,Engineering & Technology,180000,Gandhinagar,Gujarat,India,West India,Co-Ed,https://www.pdpu.ac.in
Sardar Patel University,B.Sc Microbiology,Life Sciences,30000,Anand,Gujarat,India,West India,Co-Ed,https://www.spuvvn.edu
M.S. University Baroda,B.A. Fine Arts,Arts & Humanities,20000,Vadodara,Gujarat,India,West India,Co-Ed,https://www.msubaroda.ac.in
K.J. Somaiya College of Engineering,B.E. CSE,Engineering & Technology,180000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.kjsce.somaiya.edu
Tata Institute of Social Sciences,MSW,Social Sciences,50000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.tiss.edu
Tata Institute of Fundamental Research,Ph.D Physics,Science & Research,30000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.tifr.res.in
Chetana's Institute of Management,MBA Marketing,Management,180000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.chetana.ac.in
Vishwakarma Institute of Technology,B.Tech Mechanical,Engineering & Technology,110000,Pune,Maharashtra,India,West India,Co-Ed,https://www.vit.edu
Indira College of Engineering,B.E. ECE,Engineering & Technology,85000,Pune,Maharashtra,India,West India,Co-Ed,https://www.indiraengineeringcollege.ac.in
Zeal College of Engineering,B.E. CSE,Engineering & Technology,90000,Pune,Maharashtra,India,West India,Co-Ed,https://www.zealcet.org
Heritage Institute of Technology,B.Tech CSE,Engineering & Technology,120000,Kolkata,West Bengal,India,East India,Co-Ed,https://www.heritageit.edu
MAKAUT West Bengal,B.Tech ECE,Engineering & Technology,50000,Kolkata,West Bengal,India,East India,Co-Ed,https://www.makautwb.ac.in
Techno India University,B.Tech CSE,Engineering & Technology,80000,Kolkata,West Bengal,India,East India,Co-Ed,https://technoindiauniversity.ac.in
IIEST Shibpur,B.Tech Civil,Engineering & Technology,80000,Shibpur,West Bengal,India,East India,Co-Ed,https://www.iiests.ac.in
Patna University,B.Sc Computer Science,Science & Research,20000,Patna,Bihar,India,East India,Co-Ed,https://www.patnauniversity.ac.in
NIT Patna,B.Tech Electrical,Engineering & Technology,140000,Patna,Bihar,India,East India,Co-Ed,https://www.nitp.ac.in
BIT Mesra,B.Tech CSE,Engineering & Technology,200000,Ranchi,Jharkhand,India,East India,Co-Ed,https://www.bitmesra.ac.in
Centurion University,B.Tech Mechanical,Engineering & Technology,90000,Bhubaneswar,Odisha,India,East India,Co-Ed,https://www.cutm.ac.in
University of Göttingen,M.Sc Molecular Biology,Life Sciences,300000,Göttingen,Lower Saxony,Germany,Europe,Co-Ed,https://www.uni-goettingen.de
Ludwig Maximilian University Munich,M.Sc Physics,Science & Research,150000,Munich,Bavaria,Germany,Europe,Co-Ed,https://www.lmu.de
University of Amsterdam,B.Sc Econometrics,Commerce & Finance,2000000,Amsterdam,North Holland,Netherlands,Europe,Co-Ed,https://www.uva.nl
TU Delft,B.Sc Architecture,Architecture & Design,2000000,Delft,South Holland,Netherlands,Europe,Co-Ed,https://www.tudelft.nl
Uppsala University,M.Sc Immunology,Life Sciences,700000,Uppsala,Uppsala,Sweden,Europe,Co-Ed,https://www.uu.se
Lund University,M.Sc Environmental Science,Science & Research,700000,Lund,Skåne,Sweden,Europe,Co-Ed,https://www.lu.se
EPFL Switzerland,M.Sc Bioengineering,Life Sciences,1200000,Lausanne,Vaud,Switzerland,Europe,Co-Ed,https://www.epfl.ch
University of Warsaw,M.Sc Computer Science,Engineering & Technology,300000,Warsaw,Masovian,Poland,Europe,Co-Ed,https://www.uw.edu.pl
Charles University Prague,MBBS,Medicine & Health,1200000,Prague,Bohemia,Czech Republic,Europe,Co-Ed,https://www.cuni.cz
University of Vienna,M.A. International Business,Management,800000,Vienna,Vienna,Austria,Europe,Co-Ed,https://www.univie.ac.at
KU Leuven,M.Sc AI,Engineering & Technology,1000000,Leuven,Flemish Brabant,Belgium,Europe,Co-Ed,https://www.kuleuven.be
TU Berlin,M.Sc Industrial Engineering,Engineering & Technology,200000,Berlin,Berlin,Germany,Europe,Co-Ed,https://www.tu.berlin
Michigan State University,B.S. Animal Science,Life Sciences,3000000,East Lansing,Michigan,USA,North America,Co-Ed,https://www.msu.edu
University of Pennsylvania (Wharton),MBA,Management,11000000,Philadelphia,Pennsylvania,USA,North America,Co-Ed,https://www.wharton.upenn.edu
Boston University,B.S. Biomedical Engineering,Engineering & Technology,5500000,Boston,Massachusetts,USA,North America,Co-Ed,https://www.bu.edu
